pond,date,depth,dissolvedCO2,dissolvedCH4,dissolvedN2O
DOBA7,6/2/21,Surface,4.18E-06,1.53E-07,1.22E-08
DOBA7,6/2/21,Surface,3.91E-06,2.69E-07,1.21E-08
DOBA7,6/2/21,Surface,2.13E-05,-1.14E-07,1.08E-08
OPP-E,6/2/21,Surface,4.98E-06,1.65E-06,1.13E-08
OPP-E,6/2/21,Surface,2.64E-06,1.42E-06,1.21E-08
OPP-E,6/2/21,Surface,3.09E-06,1.17E-06,1.20E-08
OPP-W,6/2/21,Surface,4.71E-06,1.56E-06,1.36E-08
OPP-W,6/2/21,Surface,5.65E-06,1.57E-06,1.35E-08
OPP-W,6/2/21,Surface,3.70E-06,8.07E-07,1.44E-08
LM-ARB,6/3/21,Surface,9.20E-05,1.75E-06,1.47E-08
LM-ARB,6/3/21,Surface,7.08E-05,1.61E-06,1.16E-08
LM-ARB,6/3/21,Surface,8.05E-05,2.00E-06,1.20E-08
UM-ARB,6/3/21,Surface,0.000113,4.83E-06,1.85E-08
UM-ARB,6/3/21,Surface,0.000102,4.77E-06,1.58E-08
UM-ARB,6/3/21,Surface,9.46E-05,4.48E-06,1.87E-08
CAP,6/7/21,Surface,0.000129,7.00E-06,4.87E-09
CAP,6/7/21,Surface,0.000121,5.77E-06,5.04E-09
CAP,6/7/21,Surface,0.000115,5.23E-06,5.28E-09
DOBA4,6/7/21,Surface,1.13E-05,3.79E-07,8.15E-09
DOBA4,6/7/21,Surface,1.12E-05,2.86E-07,8.14E-09
DOBA4,6/7/21,Surface,9.67E-06,4.46E-07,8.03E-09
DOBA5,6/7/21,Surface,2.81E-05,1.64E-06,9.41E-09
DOBA5,6/7/21,Surface,3.08E-05,1.88E-06,9.73E-09
DOBA5,6/7/21,Surface,3.18E-05,2.68E-06,9.73E-09
ALC,6/8/21,Surface,5.37E-06,5.76E-06,5.25E-09
ALC,6/8/21,Surface,4.74E-06,3.96E-06,5.81E-09
ALC,6/8/21,Surface,4.66E-06,4.41E-06,5.84E-09
ELV,6/8/21,Surface,8.95E-06,1.31E-07,8.83E-09
ELV,6/8/21,Surface,9.50E-06,-2.44E-08,8.90E-09
ELV,6/8/21,Surface,1.12E-05,-9.93E-08,8.87E-09
DCSW1,6/9/21,Surface,3.57E-06,1.99E-07,1.38E-08
DCSW1,6/9/21,Surface,2.37E-06,2.95E-07,1.44E-08
DCSW1,6/9/21,Surface,3.81E-06,3.39E-07,1.51E-08
DCSW2,6/9/21,Surface,3.39E-06,4.52E-07,1.62E-08
DCSW2,6/9/21,Surface,3.52E-06,4.91E-07,1.76E-08
DCSW2,6/9/21,Surface,2.33E-06,5.33E-07,2.02E-08
DCSW3,6/9/21,Surface,4.97E-06,7.39E-08,1.07E-08
DCSW3,6/9/21,Surface,2.88E-06,2.35E-07,1.12E-08
DCSW3,6/9/21,Surface,4.27E-06,3.05E-07,1.15E-08
DOBA8,6/10/21,Surface,6.34E-05,8.23E-07,6.89E-09
DOBA8,6/10/21,Surface,7.11E-05,1.08E-06,6.70E-09
DOBA8,6/10/21,Surface,7.82E-05,1.35E-06,6.33E-09
HP,6/10/21,Surface,6.45E-05,1.62E-06,3.23E-08
HP,6/10/21,Surface,6.74E-05,1.86E-06,3.40E-08
HP,6/10/21,Surface,8.09E-05,2.30E-06,3.80E-08
MDT,6/10/21,Surface,4.45E-06,7.30E-07,7.05E-09
MDT,6/10/21,Surface,4.60E-06,6.08E-07,7.12E-09
MDT,6/10/21,Surface,2.36E-06,1.01E-06,6.74E-09
KP,6/11/21,Surface,0.000578,4.50E-05,3.63E-09
KP,6/11/21,Surface,0.000628,5.31E-05,3.30E-09
KP,6/11/21,Surface,0.00072,7.41E-05,1.35E-09
L60-UW,6/11/21,Surface,3.08E-05,1.42E-05,4.76E-09
L60-UW,6/11/21,Surface,1.56E-05,2.41E-05,3.30E-09
L60-UW,6/11/21,Surface,6.42E-05,2.70E-05,3.11E-09
O-N,6/11/21,Surface,2.08E-05,-7.18E-08,1.16E-08
O-N,6/11/21,Surface,1.96E-05,-6.03E-09,1.23E-08
O-N,6/11/21,Surface,1.91E-05,5.43E-08,1.34E-08
O-S,6/11/21,Surface,2.56E-05,3.74E-07,7.01E-09
O-S,6/11/21,Surface,2.32E-05,3.51E-07,7.19E-09
O-S,6/11/21,Surface,2.39E-05,1.81E-07,7.05E-09
